3300.0 4.38321549983e-13
3350.0 4.37251279353e-13
3400.0 4.24094723259e-13
3450.0 4.10376527985e-13
3500.0 4.01684075012e-13
3550.0 3.99175609253e-13
3600.0 3.93926957144e-13
3650.0 3.93219434255e-13
3700.0 3.83722490726e-13
3750.0 4.03606514523e-13
3800.0 4.28601325381e-13
3850.0 4.51127439876e-13
3900.0 4.44929794338e-13
3950.0 4.34536749826e-13
4000.0 4.37220705082e-13
4050.0 4.39248873625e-13
4100.0 3.91609293274e-13
4150.0 4.15264216622e-13
4200.0 4.14879639573e-13
4250.0 4.00721683128e-13
4300.0 3.81490556469e-13
4350.0 3.43433130823e-13
4400.0 3.61339425688e-13
4450.0 3.52290296376e-13
4500.0 3.55464042337e-13
4550.0 3.49299456279e-13
4600.0 3.40177072653e-13
4650.0 3.32288106636e-13
4700.0 3.24657161343e-13
4750.0 3.18151139955e-13
4800.0 3.11270689847e-13
4850.0 2.80632022184e-13
4900.0 2.94054982728e-13
4950.0 2.95944521705e-13
5000.0 2.8766080685e-13
5050.0 2.8329437193e-13
5100.0 2.79306054985e-13
5150.0 2.74413987675e-13
5200.0 2.71903010219e-13
5250.0 2.67486640414e-13
5300.0 2.63675005491e-13
5350.0 2.59246641503e-13
5400.0 2.55172097365e-13
5450.0 2.49590297312e-13
5500.0 2.45977466419e-13
5550.0 2.42010794092e-13
5600.0 2.37708465721e-13
5650.0 2.30953106004e-13
5700.0 2.25460772959e-13
5750.0 2.20742020563e-13
5800.0 2.16752799714e-13
5850.0 2.14244149283e-13
5900.0 2.03196713615e-13
5950.0 2.0501553529e-13
6000.0 2.01056538931e-13
6050.0 1.97564974896e-13
6100.0 1.94160567593e-13
6150.0 1.89614031174e-13
6200.0 1.84857605799e-13
6250.0 1.81075906584e-13
6300.0 1.73675918366e-13
6350.0 1.74129860599e-13
6400.0 1.71261898869e-13
6450.0 1.68616967194e-13
6500.0 1.64510639139e-13
6550.0 1.50778043274e-13
6600.0 1.57518958579e-13
6650.0 1.57462597878e-13
6700.0 1.54835698455e-13
6750.0 1.53537037724e-13
6800.0 1.50176810881e-13
6850.0 1.40552818831e-13
6900.0 1.31802158128e-13
6950.0 1.39075648515e-13
7000.0 1.3798269494e-13
7050.0 1.35033793654e-13
7100.0 1.33999755361e-13
7150.0 1.29481767556e-13
7200.0 1.20713463285e-13
7250.0 1.19054191423e-13
7300.0 1.18624660551e-13
7350.0 1.20405416621e-13
7400.0 1.19442054079e-13
7450.0 1.17952773566e-13
7500.0 1.16064171638e-13
7550.0 1.14531988152e-13
7600.0 7.33151147022e-14
7650.0 8.08160895915e-14
7700.0 1.06423920238e-13
7750.0 1.07205557079e-13
7800.0 1.06030668012e-13
7850.0 1.0507064286e-13
7900.0 1.02604526457e-13
7950.0 1.01224687715e-13
8000.0 9.96875055564e-14
8050.0 9.80006468374e-14
8100.0 9.59954536179e-14
8150.0 8.88189194709e-14
8200.0 8.79818314605e-14
8250.0 8.69987085569e-14
8300.0 8.65096426735e-14
8350.0 8.68255917666e-14
8400.0 8.67485313243e-14
8450.0 8.54097174264e-14
8500.0 8.41749469784e-14
8550.0 8.28873916994e-14
8600.0 8.1025888201e-14
8650.0 7.98708834165e-14
8700.0 8.12422977073e-14
8750.0 7.58585604399e-14
8800.0 7.96260841686e-14
8850.0 7.32038902994e-14
8900.0 7.59347713629e-14
8950.0 7.29750888274e-14
9000.0 6.18209513502e-14
9050.0 6.72238752375e-14
9100.0 6.64259720305e-14
9150.0 6.45622288333e-14
9200.0 6.35104292804e-14
9250.0 6.04974734244e-14
9300.0 5.38337713792e-14
9350.0 4.08881518834e-14
9400.0 5.01839677838e-14
9450.0 4.58307628291e-14
9500.0 4.59381490317e-14
9550.0 4.26986318678e-14
9600.0 4.90544303571e-14
9650.0 5.24524859658e-14
9700.0 5.64517272305e-14
9750.0 5.45520997468e-14
9800.0 5.59717069376e-14
9850.0 5.7009632566e-14
9900.0 5.67479678128e-14
9950.0 5.56640166665e-14
10000.0 5.4053112035e-14
10050.0 5.04531840601e-14
10100.0 5.40229076563e-14
